case_note_id,alert_id,note_text,predicted_typology,typology_confidence,typology_reasons,original_typology_label
NOTE000001,ALERT000001,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account,0.9,"KEYWORD:mule, KEYWORD:mule-account",mule_account_style_behaviour
NOTE000002,ALERT000002,Synthetic review notes payment to a recently observed beneficiary.,shared_beneficiary,0.75,ORIGINAL_LABEL_HINT:new_beneficiary_risk,new_beneficiary_risk
NOTE000003,ALERT000003,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account,0.9,"KEYWORD:mule, KEYWORD:mule-account",mule_account_style_behaviour
NOTE000004,ALERT000004,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover,0.9,KEYWORD:unusual access,account_takeover_style_behaviour
NOTE000005,ALERT000005,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account,0.9,"KEYWORD:mule, KEYWORD:mule-account",mule_account_style_behaviour
NOTE000006,ALERT000006,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement,0.9,"KEYWORD:rapid inbound, KEYWORD:outbound movement",rapid_movement_of_funds
NOTE000007,ALERT000007,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000008,ALERT000008,Synthetic review notes device reuse across multiple account relationships.,shared_device,0.9,"KEYWORD:device reuse, KEYWORD:multiple account",shared_device_behaviour
NOTE000009,ALERT000009,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
NOTE000010,ALERT000010,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction,0.9,"KEYWORD:higher-risk, KEYWORD:destination country",high_risk_jurisdiction_exposure
NOTE000011,ALERT000011,Synthetic review notes repeated transfers in a short time window.,rapid_movement,0.9,KEYWORD:short time window,high_transaction_velocity
