alert_id,transaction_id,account_id,alert_type,alert_severity,alert_reason,predicted_typology,typology_confidence,nlp_triage_score,nlp_triage_band,nlp_triage_reasons,suggested_review_queue
ALERT000001,TXN0000018,ACCT000161,mule_activity,medium,Synthetic alert generated for mule account style behaviour.,mule_account,0.9,85,High,"TYPOLOGY:mule_account; KEYWORD:mule, KEYWORD:mule-account; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000002,TXN0000021,ACCT000463,new_beneficiary,medium,Synthetic alert generated for new beneficiary risk.,shared_beneficiary,0.75,68,Medium,TYPOLOGY:shared_beneficiary; ORIGINAL_LABEL_HINT:new_beneficiary_risk; NETWORK_HIGH_OR_CRITICAL,Network risk review
ALERT000003,TXN0000034,ACCT000521,mule_activity,high,Synthetic alert generated for mule account style behaviour.,mule_account,0.9,93,Critical,"TYPOLOGY:mule_account; KEYWORD:mule, KEYWORD:mule-account; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000004,TXN0000067,ACCT000134,account_takeover,high,Synthetic alert generated for account takeover style behaviour.,account_takeover,0.9,100,Critical,TYPOLOGY:account_takeover; KEYWORD:unusual access; HIGH_ALERT_SEVERITY; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000005,TXN0000073,ACCT000662,mule_activity,medium,Synthetic alert generated for mule account style behaviour.,mule_account,0.9,93,Critical,"TYPOLOGY:mule_account; KEYWORD:mule, KEYWORD:mule-account; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000006,TXN0000079,ACCT000662,rapid_movement,medium,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,86,High,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000007,TXN0000080,ACCT000508,jurisdiction_risk,high,Synthetic alert generated for high risk jurisdiction exposure.,high_risk_jurisdiction,0.9,88,High,"TYPOLOGY:high_risk_jurisdiction; KEYWORD:higher-risk, KEYWORD:destination country; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000008,TXN0000087,ACCT000542,shared_device,medium,Synthetic alert generated for shared device behaviour.,shared_device,0.9,70,High,"TYPOLOGY:shared_device; KEYWORD:device reuse, KEYWORD:multiple account; NETWORK_HIGH_OR_CRITICAL",Network risk review
ALERT000009,TXN0000090,ACCT000151,velocity_rule,high,Synthetic alert generated for high transaction velocity.,rapid_movement,0.9,86,High,TYPOLOGY:rapid_movement; KEYWORD:short time window; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000010,TXN0000094,ACCT000495,jurisdiction_risk,high,Synthetic alert generated for high risk jurisdiction exposure.,high_risk_jurisdiction,0.9,96,Critical,"TYPOLOGY:high_risk_jurisdiction; KEYWORD:higher-risk, KEYWORD:destination country; HIGH_ALERT_SEVERITY; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000011,TXN0000096,ACCT000039,velocity_rule,medium,Synthetic alert generated for high transaction velocity.,rapid_movement,0.9,78,High,TYPOLOGY:rapid_movement; KEYWORD:short time window; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000012,TXN0000099,ACCT000311,jurisdiction_risk,high,Synthetic alert generated for high risk jurisdiction exposure.,high_risk_jurisdiction,0.9,88,High,"TYPOLOGY:high_risk_jurisdiction; KEYWORD:higher-risk, KEYWORD:destination country; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000013,TXN0000113,ACCT000171,account_takeover,high,Synthetic alert generated for account takeover style behaviour.,account_takeover,0.9,98,Critical,TYPOLOGY:account_takeover; KEYWORD:unusual access; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000014,TXN0000121,ACCT000374,jurisdiction_risk,high,Synthetic alert generated for high risk jurisdiction exposure.,high_risk_jurisdiction,0.9,88,High,"TYPOLOGY:high_risk_jurisdiction; KEYWORD:higher-risk, KEYWORD:destination country; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000015,TXN0000127,ACCT000231,rapid_movement,medium,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,86,High,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000016,TXN0000128,ACCT000146,rapid_movement,medium,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,86,High,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000017,TXN0000135,ACCT000066,structuring_indicator,medium,Synthetic alert generated for round number payments.,structuring,0.9,93,Critical,"TYPOLOGY:structuring; KEYWORD:round-number, KEYWORD:repeated round; PRIORITISED_ALERT_HIGH_OR_CRITICAL; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
ALERT000018,TXN0000138,ACCT000487,jurisdiction_risk,high,Synthetic alert generated for high risk jurisdiction exposure.,high_risk_jurisdiction,0.9,88,High,"TYPOLOGY:high_risk_jurisdiction; KEYWORD:higher-risk, KEYWORD:destination country; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL",AML review
ALERT000019,TXN0000141,ACCT000382,account_takeover,high,Synthetic alert generated for account takeover style behaviour.,account_takeover,0.9,98,Critical,TYPOLOGY:account_takeover; KEYWORD:unusual access; HIGH_ALERT_SEVERITY; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000020,TXN0000145,ACCT000442,velocity_rule,medium,Synthetic alert generated for high transaction velocity.,rapid_movement,0.9,78,High,TYPOLOGY:rapid_movement; KEYWORD:short time window; NETWORK_HIGH_OR_CRITICAL,Financial crime investigation
ALERT000021,TXN0000152,ACCT000395,rapid_movement,medium,Synthetic alert generated for rapid movement of funds.,rapid_movement,0.9,86,High,"TYPOLOGY:rapid_movement; KEYWORD:rapid inbound, KEYWORD:outbound movement; ANOMALY_OVERLAP; NETWORK_HIGH_OR_CRITICAL",Financial crime investigation
