transaction_id,account_id,customer_id,is_suspicious,suspicious_pattern,anomaly_score,is_anomaly,anomaly_rank,anomaly_band,top_anomaly_reasons,fraud_probability,fraud_prediction,aml_risk_score,aml_risk_band,aml_risk_reasons,priority_score,priority_band,recommended_action
TXN0003408,ACCT000621,CUST000116,True,round_number_payments,100.0,True,1,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; DEVICE_RISK_SIGNAL; CROSS_BORDER_TRANSACTION,,,75,High,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0000424,ACCT000598,CUST000460,True,round_number_payments,96.834,True,2,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION,,,77,High,Structuring pattern indicator; Account takeover style activity; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0001106,ACCT000029,CUST000014,True,round_number_payments,96.3972,True,3,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,75,High,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0002712,ACCT000073,CUST000120,True,rapid_movement_of_funds,95.7553,True,4,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; CROSS_BORDER_TRANSACTION,,,65,Medium,Rapid movement of funds; Account takeover style activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0003854,ACCT000610,CUST000308,True,round_number_payments,95.6459,True,5,Critical,HIGH_VALUE_TRANSACTION; HIGH_RISK_JURISDICTION; ROUND_AMOUNT_PATTERN; CROSS_BORDER_TRANSACTION,,,75,High,High-risk jurisdiction exposure; Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0002120,ACCT000373,CUST000369,True,rapid_movement_of_funds,95.3009,True,6,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; DEVICE_RISK_SIGNAL; CROSS_BORDER_TRANSACTION,,,65,Medium,Rapid movement of funds; Account takeover style activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0002401,ACCT000645,CUST000035,True,rapid_movement_of_funds,94.4244,True,7,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT,,,33,Low,Rapid movement of funds; High-value transaction; Synthetic suspicious helper label present,,,
TXN0002302,ACCT000599,CUST000395,True,rapid_movement_of_funds,94.2353,True,8,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT; ACCOUNT_TAKEOVER_SIGNAL; DEVICE_RISK_SIGNAL; CROSS_BORDER_TRANSACTION,,,65,Medium,Rapid movement of funds; Account takeover style activity; High-value transaction; Cross-border transaction; Synthetic suspicious helper label present,,,
TXN0002757,ACCT000546,CUST000238,True,round_number_payments,94.0381,True,9,Critical,HIGH_VALUE_TRANSACTION; ROUND_AMOUNT_PATTERN,,,45,Medium,Structuring pattern indicator; Repeated round-amount activity; High-value transaction; Synthetic suspicious helper label present,,,
TXN0000891,ACCT000108,CUST000298,True,rapid_movement_of_funds,94.0217,True,10,Critical,HIGH_VALUE_TRANSACTION; RAPID_MOVEMENT,,,33,Low,Rapid movement of funds; High-value transaction; Synthetic suspicious helper label present,,,
