case_note_id,alert_id,note_timestamp,note_text,typology_label
NOTE000001,ALERT000001,2025-04-10T00:23:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000002,ALERT000002,2025-03-03T08:12:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000003,ALERT000003,2025-05-20T19:34:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000004,ALERT000004,2025-01-07T10:12:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000005,ALERT000005,2025-10-06T06:41:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000006,ALERT000006,2025-06-20T10:40:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000007,ALERT000007,2025-11-19T21:19:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000008,ALERT000008,2025-04-14T15:33:00,Synthetic review notes device reuse across multiple account relationships.,shared_device_behaviour
NOTE000009,ALERT000009,2025-03-07T17:04:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000010,ALERT000010,2025-10-09T05:09:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000011,ALERT000011,2025-04-06T00:01:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000012,ALERT000012,2025-12-04T05:41:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000013,ALERT000013,2025-03-16T11:14:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000014,ALERT000014,2025-08-17T02:10:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000015,ALERT000015,2025-08-25T23:12:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000016,ALERT000016,2025-03-27T13:21:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000017,ALERT000017,2025-12-09T21:08:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000018,ALERT000018,2025-10-03T15:35:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000019,ALERT000019,2025-01-04T18:15:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000020,ALERT000020,2025-11-15T11:09:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000021,ALERT000021,2025-05-23T14:06:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000022,ALERT000022,2025-01-08T19:51:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000023,ALERT000023,2025-07-17T23:57:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000024,ALERT000024,2025-07-18T01:51:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000025,ALERT000025,2025-12-10T16:45:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
NOTE000026,ALERT000026,2025-12-04T05:38:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000027,ALERT000027,2025-06-28T03:59:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000028,ALERT000028,2025-07-25T23:22:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000029,ALERT000029,2025-10-15T11:33:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000030,ALERT000030,2025-09-16T23:13:00,Synthetic review notes payment to a recently observed beneficiary.,new_beneficiary_risk
NOTE000031,ALERT000031,2025-04-20T17:45:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000032,ALERT000032,2025-11-07T08:31:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000033,ALERT000033,2025-05-04T14:24:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000034,ALERT000034,2025-06-11T19:23:00,Synthetic review notes unusual access pattern and payment behaviour.,account_takeover_style_behaviour
NOTE000035,ALERT000035,2025-06-24T10:52:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000036,ALERT000036,2025-05-02T04:35:00,Synthetic review notes rapid inbound and outbound movement of funds.,rapid_movement_of_funds
NOTE000037,ALERT000037,2025-10-28T09:29:00,Synthetic review notes behaviour consistent with mule-account typologies.,mule_account_style_behaviour
NOTE000038,ALERT000038,2025-11-27T02:39:00,Synthetic review notes exposure to a higher-risk destination country.,high_risk_jurisdiction_exposure
NOTE000039,ALERT000039,2025-05-19T04:47:00,Synthetic review notes a material increase against expected account activity.,unusual_amount_spike
NOTE000040,ALERT000040,2025-11-20T11:30:00,Synthetic review notes repeated round-number payments requiring review.,round_number_payments
NOTE000041,ALERT000041,2025-11-27T15:42:00,Synthetic review notes repeated transfers in a short time window.,high_transaction_velocity
